subject,age,gender,berry,sample,9pt_overall,us_overall,lms_overall
1031946,21-35,female,raspberry,6,4,NA,NA
1031946,21-35,female,raspberry,5,9,NA,NA
1031946,21-35,female,raspberry,2,3,NA,NA
1031946,21-35,female,raspberry,3,7,NA,NA
1031946,21-35,female,raspberry,4,4,NA,NA
1031946,21-35,female,raspberry,1,4,NA,NA
1031952,36-50,female,raspberry,6,4,NA,40
1031952,36-50,female,raspberry,5,7,NA,11
1031952,36-50,female,raspberry,2,7,NA,-9
1031952,36-50,female,raspberry,3,9,NA,11
1031952,36-50,female,raspberry,4,7,NA,-34
1031952,36-50,female,raspberry,1,2,NA,-99
1031972,36-50,female,raspberry,6,8,NA,74
1031972,36-50,female,raspberry,5,7,NA,74
1031972,36-50,female,raspberry,2,6,NA,56
1031972,36-50,female,raspberry,3,8,NA,56
1031972,36-50,female,raspberry,4,8,NA,35
1031972,36-50,female,raspberry,1,8,NA,56
1031984,21-35,female,raspberry,6,6,7,11
1031984,21-35,female,raspberry,5,4,5,-13
1031984,21-35,female,raspberry,2,4,6,-11
1031984,21-35,female,raspberry,3,5,12,55
1031984,21-35,female,raspberry,4,8,6,-10
1031984,21-35,female,raspberry,1,7,5,-32
1032011,36-50,female,raspberry,6,6,7,56
1032011,36-50,female,raspberry,5,7,7,73
1032011,36-50,female,raspberry,2,8,11,-75
1032011,36-50,female,raspberry,3,5,5,-46
1032011,36-50,female,raspberry,4,3,3,-86
1032011,36-50,female,raspberry,1,1,14,-30
1032039,36-50,female,raspberry,6,2,4,-77
1032039,36-50,female,raspberry,5,7,11,56
1032039,36-50,female,raspberry,2,7,7,0
1032039,36-50,female,raspberry,3,7,11,-53
1032039,36-50,female,raspberry,4,3,9,-77
1032039,36-50,female,raspberry,1,9,0,-78
1032102,36-50,female,raspberry,6,7,12,NA
1032102,36-50,female,raspberry,5,6,11,NA
1032102,36-50,female,raspberry,2,6,6,NA
1032102,36-50,female,raspberry,3,9,14,NA
1032102,36-50,female,raspberry,4,4,4,NA
1032102,36-50,female,raspberry,1,8,9,NA
1032145,51-65,female,raspberry,6,7,12,34
1032145,51-65,female,raspberry,5,8,12,56
1032145,51-65,female,raspberry,2,6,12,35
1032145,51-65,female,raspberry,3,4,12,55
1032145,51-65,female,raspberry,4,8,10,56
1032145,51-65,female,raspberry,1,8,10,55
1032153,51-65,female,raspberry,6,9,6,74
1032153,51-65,female,raspberry,5,2,10,74
1032153,51-65,female,raspberry,2,4,14,75
1032153,51-65,female,raspberry,3,9,4,73
1032153,51-65,female,raspberry,4,3,7,36
1032153,51-65,female,raspberry,1,6,10,57
1032159,51-65,female,raspberry,6,7,9,21
1032159,51-65,female,raspberry,5,7,8,55
1032159,51-65,female,raspberry,2,8,14,11
1032159,51-65,female,raspberry,3,7,12,46
1032159,51-65,female,raspberry,4,7,5,56
1032159,51-65,female,raspberry,1,6,4,-11
1032229,51-65,female,raspberry,6,7,14,75
1032229,51-65,female,raspberry,5,8,11,75
1032229,51-65,female,raspberry,2,8,8,65
1032229,51-65,female,raspberry,3,8,14,73
1032229,51-65,female,raspberry,4,7,14,74
1032229,51-65,female,raspberry,1,8,14,47
1032262,51-65,female,raspberry,6,9,13,NA
1032262,51-65,female,raspberry,5,7,13,NA
1032262,51-65,female,raspberry,2,6,12,NA
1032262,51-65,female,raspberry,3,6,11,NA
1032262,51-65,female,raspberry,4,5,9,NA
1032262,51-65,female,raspberry,1,9,13,NA
1032267,51-65,female,raspberry,6,8,4,36
1032267,51-65,female,raspberry,5,7,9,11
1032267,51-65,female,raspberry,2,4,13,-10
1032267,51-65,female,raspberry,3,3,5,-32
