subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1033784,51-65,female,strawberry,4,75-100%,9,-19,-3,20,-1,0,0,0,0,0,0,0,1,0,0,0,0,0
1033784,51-65,female,strawberry,1,75-100%,68,74,77,72,81,1,1,0,0,1,0,0,0,0,0,0,0,0
1033784,51-65,female,strawberry,2,75-100%,11,26,27,27,76,0,1,0,0,1,0,0,0,0,0,0,0,0
1033784,51-65,female,strawberry,6,75-100%,47,-28,-28,30,57,0,0,1,0,0,0,1,0,0,0,0,0,0
1033784,51-65,female,strawberry,3,75-100%,71,51,51,68,72,1,1,0,0,1,0,0,0,0,0,0,0,0
1033784,51-65,female,strawberry,5,75-100%,68,51,48,63,21,0,1,0,0,1,0,0,0,0,0,0,0,0
1032783,51-65,female,strawberry,4,75-100%,73,57,39,72,-29,0,0,0,0,0,0,0,1,0,0,0,0,0
1032783,51-65,female,strawberry,1,75-100%,13,-10,-10,37,11,0,0,0,0,1,0,0,0,0,0,0,0,0
1032783,51-65,female,strawberry,2,75-100%,-11,12,14,53,-1,0,0,0,0,0,0,0,1,0,0,0,0,0
1032783,51-65,female,strawberry,6,75-100%,-13,36,25,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1032783,51-65,female,strawberry,3,75-100%,75,53,57,77,58,0,0,0,0,1,0,0,0,0,0,0,0,0
1032783,51-65,female,strawberry,5,75-100%,37,39,34,39,-11,0,0,0,0,0,0,0,1,0,0,0,0,0
1033803,21-35,male,strawberry,4,50-74%,13,11,34,11,9,0,1,0,0,0,0,0,0,1,0,0,0,1
1033803,21-35,male,strawberry,1,50-74%,-6,11,34,35,37,0,1,0,0,1,0,0,0,0,0,0,0,1
1033803,21-35,male,strawberry,2,50-74%,-76,10,36,-8,21,0,1,0,0,1,0,0,0,0,0,0,0,1
1033803,21-35,male,strawberry,6,50-74%,-5,-29,-75,8,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1033803,21-35,male,strawberry,3,50-74%,-31,-16,-38,20,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1033803,21-35,male,strawberry,5,50-74%,5,18,18,39,21,0,0,0,0,1,0,0,0,1,0,0,0,0
1033848,21-35,female,strawberry,4,50-74%,56,25,17,36,-1,0,0,1,0,0,0,1,0,0,0,1,1,0
1033848,21-35,female,strawberry,1,50-74%,-21,-32,-46,-34,10,0,0,1,1,0,0,1,0,0,0,0,0,0
1033848,21-35,female,strawberry,2,50-74%,-9,-9,12,-30,35,1,0,0,0,0,0,0,0,0,0,1,1,0
1033848,21-35,female,strawberry,6,50-74%,-33,-11,-21,-21,-1,1,1,0,0,0,0,1,0,0,0,0,0,1
1033848,21-35,female,strawberry,3,50-74%,12,13,-10,-11,11,0,0,1,0,0,0,1,0,0,0,1,1,0
1033848,21-35,female,strawberry,5,50-74%,36,35,29,11,19,0,1,0,0,0,0,0,0,0,0,0,0,1
1033852,36-50,female,strawberry,4,75-100%,13,-5,-4,13,8,0,0,0,0,0,0,0,1,0,0,0,0,0
1033852,36-50,female,strawberry,1,75-100%,36,65,72,77,56,0,1,0,0,1,0,0,0,0,0,0,0,0
1033852,36-50,female,strawberry,2,75-100%,13,10,6,-4,-3,0,0,0,0,0,0,0,1,0,0,0,0,0
1033852,36-50,female,strawberry,6,75-100%,-8,33,29,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1033852,36-50,female,strawberry,3,75-100%,11,11,-6,11,-11,0,0,0,0,0,0,0,1,0,0,0,0,0
